code,similarity,nl
crontab File,crontab file,add cron list from _REGEX to list of cron job give error for ani line that cannot be pars by crontab
find -printf %P\n| sort | xargs -I {} bash -c echo $(uuid) {},find -printf %p\n| sort | xargs -i {} bash -c echo $(uuid) {},generat uuid for file from current directori tree
cat File | nl | sed -n Program | grep -i -n Regex | awk Program,cat file | nl | sed -n program | grep -i -n regex | awk program,save line number match _REGEX in line start with _REGEX to _REGEX in _FILE to variabl _REGEX
find /home -size +100000 -ls 2>/dev/null,find /home -size +100000 -ls 2>/dev/null,display a long list of all file in home folder which are bigger than _SIZE and discard ani error
rm -r -f File File File File File File File File,rm -r -f file file file file file file file file,remov all list folder with content in sudo mode
read -e -i Regex -p Regex Regex,read -e -i regex -p regex regex,read a line from standard input with prompt _REGEX arrow key enabl and _REGEX as default input and save respons to variabl _REGEX
find Path -depth -empty -type d -delete,find path -depth -empty -type d -delete,remov empti directori from current directori tree
echo Regex | grep --only-matching Regex | xargs | tr --delete Regex,echo regex | grep --only-matching regex | xargs | tr --delete regex,print charact in _REGEX that match with ani charact in _REGEX without print ani whitespac in-between
rsync -a -u -v -e File File File,rsync -a -u -v -e file file file,archiv current directori to _FILE on localhost use ssh to authentifi as user _REGEX onli updat file that are newer in sourc directori
find Path -maxdepth Quantity -name Regex,find path -maxdepth quantity -name regex,locat all file name _FILE in current directori and _NUMBER level below
basename $( pwd ) | tr Regex Regex,basename $( pwd ) | tr regex regex,set variabl _REGEX to name of current directori convert to lowercas
date --date Regex '+%a',date --date regex '+%a',print day _TIMESPAN ago
cat $( echo Regex | sort ) | md5sum,cat $( echo regex | sort ) | md5sum,calcul _REGEX sum of content of sort list of file _REGEX
sh -c find / -name myfile -type f -print 2> /dev/null,sh -c find / -name myfile -type f -print 2> /dev/null,creat a sub shell and search for regular file with name _REGEX in entir file system and discard all error
cp -r $( ls -A | grep -v Regex ) File,cp -r $( ls -a | grep -v regex ) file,recurs copi all file in current directori but one with _FILE in name to home directori
mount --rbind /dev /var/snmp3/dev,mount --rbind /dev /var/snmp3/dev,recurs bind _FILE to _FILE
find Path -ls,find path -ls,list all file and directori under current directori
split -b Size File Regex,split -b size file regex,split _FILE into file of at most _SIZE each with prefix _FILE
df -k File,df -k file,report file system contain path to _FILE disk usag in kilobyt
find Path -name Regex -exec mv {} File \;,find path -name regex -exec mv {} file \;,find all _FILE file and move them to directori oldfil
find Path -user Regex -print,find path -user regex -print,find all file in folder _FILE which belong to user _REGEX
comm -3 File File | sed Program,comm -3 file file | sed program,print uniqu line of sort file _REGEX and _REGEX and remov lead tab
find ~/.personal/tips -type f -iname *.pdf -exec pdftotext {} - ; | grep hot,find ~/.personal/tips -type f -iname *.pdf -exec pdftotext {} - ; | grep hot,search all _FILE file from directori tree _FILE for _REGEX
find Path -prune -print,find path -prune -print,display all file in current folder after prune those in current folder
find Path -name Regex -print,find path -name regex -print,search current directori and all of it sub-directori for ani _FILE file be care to prevent shell from expand anyth in _FILE befor it _REGEX pass to find
bind -x Regex,bind -x regex,execut command _REGEX when key _REGEX is press
find Path -type f -name Regex -exec grep -q Regex {} \; -exec dirname {} \;,find path -type f -name regex -exec grep -q regex {} \; -exec dirname {} \;,recurs find all _FILE file contain text _REGEX and print contain folder of them
"find / -type f -size +20000k -exec ls -lh {} ; 2> /dev/null | awk { print $NF "": "" $5 } | sort -nrk 2,2","find / -type f -size +20000k -exec ls -lh {} ; 2> /dev/null | awk { print $nf "": "" $5 } | sort -nrk 2,2",find file on system that are bigger than _SIZE and show sort list of filenam
find / -path /usr/share -prune -o ( -name rsync -o -name bash ) -print 2>/dev/nul,find / -path /usr/share -prune -o ( -name rsync -o -name bash ) -print 2>/dev/nul,search for bash and rsync file in entir file system exclud search in path _FILE folder and discard all error
find -type d > dir-list,find -type d > dir-list,find all file in current folder and save output to file dir-list
groups Regex Regex Regex Regex Regex Regex Regex Regex,groups regex regex regex regex regex regex regex regex,print group list that current user belong to
find Path -name Regex | xargs -I {} wc {},find path -name regex | xargs -i {} wc {},find all undo file in current folder and display toal line word charact
split File Regex,split file regex,split _REGEX into file of at most _NUMBER line each with prefix _FILE
diff -r File File,diff -r file file,display differ between directori _REGEX and _REGEX
find Path -maxdepth Quantity -name Regex,find path -maxdepth quantity -name regex,find all file and directori start with _REGEX in name under current directori without go into sub-directori
watch elinks -dump file.html,watch elinks -dump file.html,execut _FILE everi _TIMESPAN
find . -type d ! -iname *.* | while read d; do mv $d/* .; done,find . -type d ! -iname *.* | while read d; do mv $d/* .; done,find all directori in current directori tree whose name not contain _REGEX and move content to current directori
find Path -type f -name Regex -print,find path -type f -name regex -print,search normal file call _REGEX from _FILE directori downward and print them
"find . -type d -name bin | cut -d/ -f1,2 | sort > b","find . -type d -name bin | cut -d/ -f1,2 | sort > b",find top level directori that contain a _FILE directori in it or in one of it 's sub-directori and print a sort list to file b
find . -printf %P\n | sort | while IFS= read -r f; do echo $(uuid) $f; done,find . -printf %p\n | sort | while ifs= read -r f; do echo $(uuid) $f; done,generat uuid for file from current directori tree
find Path Path -delete,find path path -delete,delet all hidden file and directori under _REGEX includ _REGEX
"find /path -name *.pdf -exec sh -c pdftotext ""{}"" - | grep --with-filename --label=""{}"" --color ""your pattern"" ;","find /path -name *.pdf -exec sh -c pdftotext ""{}"" - | grep --with-filename --label=""{}"" --color ""your pattern"" ;",find all _FILE file in _FILE and search for _REGEX in convert text output and print path to match file
tar -c -z -v -f File $( find Path -mtime -Timespan ),tar -c -z -v -f file $( find path -mtime -timespan ),archiv all file in a current directori modifi in _TIMESPAN
find Path -type f -exec chmod Permission {} \;,find path -type f -exec chmod permission {} \;,find all file under _REGEX directori and set read-writ permiss for owner and group and no permiss for other for those file
rev File | uniq -f Quantity | rev,rev file | uniq -f quantity | rev,remov adjac duplic line from file _REGEX compar all but last space-separ field
basename Regex,basename regex,set variabl _REGEX to base name of first argument to script or function that is part follow last slash
find . -maxdepth 1 -type d -print0 | xargs -0 -I {} sh -c echo  $(find {} | wc -l) {} | sort -n,find . -maxdepth 1 -type d -print0 | xargs -0 -i {} sh -c echo  $(find {} | wc -l) {} | sort -n,count all file in a current folder and in subfold one-level lower and sort folder list by number of file within
find Path | grep Regex | xargs -I {} cp {} File,find path | grep regex | xargs -i {} cp {} file,find all file and directori under current directori with _REGEX in path and copi them to _FILE
watch --color tput setaf 1; echo foo,watch --color tput setaf 1; echo foo,execut _REGEX with color support everi _TIMESPAN
cat File | awk Program | sort -n -r | head - Quantity,cat file | awk program | sort -n -r | head - quantity,print length and content of longest line in filenam
git status --branch --porcelain | grep ## | cut -c 4- | cut -d. -f1,git status --branch --porcelain | grep ## | cut -c 4- | cut -d. -f1,print git branch current check out in a work directori
hostname,hostname,set environ variabl _REGEX to system host name follow by _REGEX
shopt -u extglob,shopt -u extglob,unset shell option _REGEX
find / -maxdepth 2 ( -fstype vfat -or -fstype ntfs ) 2> /dev/null,find / -maxdepth 2 ( -fstype vfat -or -fstype ntfs ) 2> /dev/null,search root directori and it subdirectori for file resid on ntfs or vfat filesystem
find Path ! Path,find path ! path,find not-execut file under _FILE
watch ls -l,watch ls -l,execut _REGEX everi _TIMESPAN
yes | tr Regex Regex | head -c Quantity | grep Regex,yes | tr regex regex | head -c quantity | grep regex,use _REGEX amount of ram with no output
dig Regex Regex a,dig regex regex a,print a record for domain _REGEX from _FILE nameserv
find . -type f -exec stat {} ; > /dev/null,find . -type f -exec stat {} ; > /dev/null,display file status for all regular file in current directori tree suppress error messag
sed s/^/.+/ infile | bc | tail -1,sed s/^/.+/ infile | bc | tail -1,mathemat sum all line in _REGEX
comm -2 -3 <( sort File ) <( cut -d Regex -f Number File | sort -u ),comm -2 -3 <( sort file ) <( cut -d regex -f number file | sort -u ),extract ani line in _REGEX which not appear as first word of ani line in _REGEX
grep -F --include Regex -r -l Regex | xargs -L Quantity -I {} dirname {},grep -f --include regex -r -l regex | xargs -l quantity -i {} dirname {},recurs find all _FILE file contain text _REGEX and print contain folder of them
find . -type d -exec /path/to/script.sh {} ;,find . -type d -exec /path/to/script.sh {} ;,find all directori under current directori and run _FILE for each of them
echo Regex Regex | tee -a File,echo regex regex | tee -a file,write _FILE to consol and append to _FILE as root
mount | tail - Quantity | sed Program,mount | tail - quantity | sed program,print last mount drive
find Path -type f -name Regex -execdir mv {} File \;,find path -type f -name regex -execdir mv {} file \;,find all file in current folder with name _REGEX and move them to folder _REGEX execdir run command in directori where file is found
find Path -type f -print -or -type d -prune,find path -type f -print -or -type d -prune,find all file in current directori
find Path ! -path Regex -and ! -path Regex,find path ! -path regex -and ! -path regex,find all file and directori under _REGEX directori tree exclud directori _FILE and all of it 's content
mktemp $( basename Regex ),mktemp $( basename regex ),creat temporari file with file name format like _FILE and save path to it in a variabl _REGEX
find Path -depth -path Regex -prune -or -print,find path -depth -path regex -prune -or -print,find all file under current directori exclud hidden file
find . -name *.mp3 -print0 | xargs -0 mplayer,find . -name *.mp3 -print0 | xargs -0 mplayer,find all _FILE file under current directori and run mplayer with these file
fold -w Quantity File | sort | uniq -c | sort -k Number -k Number,fold -w quantity file | sort | uniq -c | sort -k number -k number,list uniqu seri of _NUMBER charact in file _REGEX prefix by number of occurr and sort from most frequent to least frequent
mount -t proc Regex Regex,mount -t proc regex regex,mount _REGEX file system on _FILE
md5sum File File,md5sum file file,calcul _REGEX sum of file _REGEX and _REGEX
shopt -p dotglob,shopt -p dotglob,get state of shell option _REGEX and save it in _REGEX variabl
find Path -type f -print0 | xargs -0 -I {} chmod Permission {},find path -type f -print0 | xargs -0 -i {} chmod permission {},find all file under current directori and set read permiss for group and other for these file
find relative/path/to/dir -type f -exec md5sum {} + > sums.md5,find relative/path/to/dir -type f -exec md5sum {} + > sums.md5,find all file under _FILE calcul _REGEX and redirect result to _FILE
ln -s File $( echo -e Regex ),ln -s file $( echo -e regex ),creat a symbol link to file _FILE name with escap charact _FILE
find . -type d -mtime 14 -printf %P\n > deploy.txt,find . -type d -mtime 14 -printf %p\n > deploy.txt,save list of directori modifi a fortnight ago to _FILE remov lead _DIRECTORY from file name
 | grep Regex | grep -o Regex, | grep regex | grep -o regex,get domain name from dig revers lookup
comm -2 -3 File File,comm -2 -3 file file,print uniqu line of sort _REGEX compar with sort _REGEX
echo Regex | fold -w Quantity,echo regex | fold -w quantity,print each charact of _REGEX on a line
ruby -e $(curl -fsSL https://raw.github.com/Homebrew/homebrew/go/install),ruby -e $(curl -fssl https://raw.github.com/homebrew/homebrew/go/install),silent download content from _FILE and show an error if fail execut with rubi after download is complet
"find Path -type f -printf ""\n%AD %AT %p"" | head -n Quantity","find path -type f -printf ""\n%ad %at %p"" | head -n quantity",display top _NUMBER file along with last access date for all file in file system
find Path -name Regex,find path -name regex,find all file and directori name _FILE under current directori
ping Regex,ping regex,send ping request to _FILE
find Path -type f -name Regex | xargs -I {} tar -c -v -f File {},find path -type f -name regex | xargs -i {} tar -c -v -f file {},find _FILE file under current directori and compress them to _FILE
mv File File,mv file file,move all file and directori in current directori to _FILE
set -v,set -v,set _REGEX shell option caus bash to print shell input line as are read
find Path -iname Regex,find path -iname regex,search for file and directori with case insensit pattern _REGEX in _FILE
find Path -perm Permission | head,find path -perm permission | head,find all _PERMISSION set file under current directori and show a few line of output from begin
find Path -maxdepth Quantity -type f -printf '%T@ %p\0' | sort -r -z -n | awk Program | xargs -0 -I {} rm -f {},find path -maxdepth quantity -type f -printf '%t@ %p\0' | sort -r -z -n | awk program | xargs -0 -i {} rm -f {},remov all file from current folder but _NUMBER newest one
cal DateTime DateTime | awk Program,cal datetime datetime | awk program,print posit number of day _NUMBER in fourth line of calendar output for septemb _NUMBER
shopt -s nullglob extglob,shopt -s nullglob extglob,set shell option _REGEX and _REGEX
find Path -maxdepth Quantity -type f,find path -maxdepth quantity -type f,display all regular file in current folder and not go beyond _NUMBER level
cat File | sort -r -h,cat file | sort -r -h,revers sort content of _FILE file compar human readabl number in file string
chown -R Regex File,chown -r regex file,recurs chang group ownership to _REGEX in _FILE
find Path -name Regex -printf '%h\n' | sort --unique,find path -name regex -printf '%h\n' | sort --unique,list uniqu parent directori of all _FILE file found in entir filesystem
rsync File File,rsync file file,creat a new directori _DIRECTORY on host _REGEX
cat $( which Regex ),cat $( which regex ),display content of file _REGEX in home directori if it exist and is execut
find Path -type f -name Regex -size +Size -exec rm -i {} \;,find path -type f -name regex -size +size -exec rm -i {} \;,search for _FILE file that are larger than _SIZE found anywher in file system and delet those file
find Path -atime +Timespan -type f -exec mv {} File \;,find path -atime +timespan -type f -exec mv {} file \;,move file older than _TIMESPAN to directori _FILE
echo Regex | sed -e Program,echo regex | sed -e program,replac all instanc of _REGEX with _REGEX in _FILE
find Path,find path,search current directori tree for execut file and searchabl directori
crontab -l | sed Program | crontab File,crontab -l | sed program | crontab file,chang all cron job run _FILE to be run everi _TIMESPAN instead of _TIMESPAN
find Path -type f -name Regex -exec ln -s {} Regex \;,find path -type f -name regex -exec ln -s {} regex \;,creat symbol link in current directori for all file locat in directori _FILE with a name contain _FILE
pdfunite `find . -name *.pdf | sort` all.pdf,pdfunite `find . -name *.pdf | sort` all.pdf,concaten all _FILE file under current directori into _FILE
ln -s File Regex,ln -s file regex,creat a symbol link name _DIRECTORY to _FILE
"find PDFs/ -name *.pdf -exec sh -c pdftotext ""{}"" - | grep -i --with-filename --label=""{}"" --color ""perry sound"" ;","find pdfs/ -name *.pdf -exec sh -c pdftotext ""{}"" - | grep -i --with-filename --label=""{}"" --color ""perry sound"" ;",search _FILE file from directori tree _DIRECTORY for text _REGEX ignor case
basename $( pwd ),basename $( pwd ),print base name of current work directori
finger `id -un` | head -1 | cut -d: -f3-,finger `id -un` | head -1 | cut -d: -f3-,print full name of current user
nohup rm -r -f File,nohup rm -r -f file,run a _FILE process to recurs remov _REGEX make it immun to all sighup signal sent to it
find Path -type f -print0 | xargs -0 -I {} ls -l {},find path -type f -print0 | xargs -0 -i {} ls -l {},list all regular file in current directori tree
find Path Path Path Path -name Regex,find path path path path -name regex,find file and directori name _REGEX under _FILE _FILE _FILE and _FILE directori tree
ls -m -R File | sed -n Program,ls -m -r file | sed -n program,list all path to all subfold in a current folder
cd Directory,cd directory,go to _FILE which in most _FILE system will be same as cd _FILE
find Path -name Regex -delete,find path -name regex -delete,search entir file hierarchi for file end in _FILE and delet them
du --summary --human-readable *,du --summary --human-readable *,display summari of each specifi file in human readabl form
mount --rbind /something /new_something,mount --rbind /something /new_something,recurs bind mount _FILE on _FILE
find Path -mindepth Quantity -type d -empty -delete,find path -mindepth quantity -type d -empty -delete,delet all empti directori in minimum _NUMBER level down directori _REGEX
mount Regex,mount regex,mount _FILE use _FILE entri
find <directory> -type f -size +1M -delete,find <directory> -type f -size +1m -delete,remov file that are greater than _SIZE in size under _REGEX
find . -type f ( -exec command1 ; -false -o -exec command2 ; ),find . -type f ( -exec command1 ; -false -o -exec command2 ; ),find all file in current directori and execut _REGEX and _REGEX for each file
sed Program File | xargs -I {} mkdir -p {},sed program file | xargs -i {} mkdir -p {},remov blank line and replac _REGEX with _DIRECTORY in _FILE as input to make directori with parent as need
find Path -name Regex -print,find path -name regex -print,search for a file _REGEX in current folder and display all instanc of file
rm -r -f $( find Path -type d -name Regex ),rm -r -f $( find path -type d -name regex ),delet all _FILE subdirectori under current directori
find Path -name Regex -type f,find path -name regex -type f,find all _FILE file in current directori recurs
find Path -name Regex -exec echo Regex \; | column -t,find path -name regex -exec echo regex \; | column -t,find all file match _REGEX in current directori and append a column with _REGEX
finger -s | awk Program,finger -s | awk program,print onli name and login column of current _FILE in user
more File,more file,display content of _FILE one page at a time paus for user interact between each
find Path -name Regex | xargs -I {} grep -E Regex {},find path -name regex | xargs -i {} grep -e regex {},find all _FILE file in current directori tree that contain string _FILE
tac File | sort -t Regex -k Number -n,tac file | sort -t regex -k number -n,numer sort file _REGEX by second _REGEX separ valu of each line order from least valu to highest valu
find Path -name Regex | xargs -I {} wc -l {},find path -name regex | xargs -i {} wc -l {},count line in each of _FILE file in a current folder and subfold and print total count as well
ls -a -l -R -I File -I File -I File -I File -I File File | md5sum -c File,ls -a -l -r -i file -i file -i file -i file -i file file | md5sum -c file,calcul _REGEX checksum of list of all _FILE in _FILE recurs includ dot file and exclud pattern _REGEX _FILE _FILE and _REGEX check checksum against checksum save in _FILE
exit -1,exit -1,exit from process with exit code _NUMBER
find /dir ( -name node_modules -prune ) -o -name *.sh -exec grep --color -Hn your text to find {} 2>/dev/null ;,find /dir ( -name node_modules -prune ) -o -name *.sh -exec grep --color -hn your text to find {} 2>/dev/null ;,find all file end with _FILE in folder _FILE exclud those with name _REGEX and search for a pattern in these file
find Path Path -f -amin Quantity,find path path -f -amin quantity,search current directori recurs for regular file last access _TIMESPAN ago
df -k File,df -k file,report file system contain path to _DIRECTORY disk usag in kilobyt
history Quantity | cut -c Number,history quantity | cut -c number,print last _NUMBER command in histori with first _NUMBER charact remov
find Path -mtime -Timespan -ls,find path -mtime -timespan -ls,display a long list of all file in current folder which been modifi in _TIMESPAN
find Path -type f | sed Program | xargs -I {} ls File {} | awk Program | sort | tail - Quantity,find path -type f | sed program | xargs -i {} ls file {} | awk program | sort | tail - quantity,find recurs latest modifi file in current directori
find Path -name Regex -print,find path -name regex -print,search for all _FILE file in _FILE directori tree
find Path -exec echo {} \;,find path -exec echo {} \;,find all file and directori under current directori and print path
find Path -name Regex -exec echo {} \;,find path -name regex -exec echo {} \;,find all _FILE file in current directori tree
echo -e $( echo -n -e Regex | wc -m ),echo -e $( echo -n -e regex | wc -m ),report count of charact in valu of _REGEX variabl as follow _REGEX
echo Regex | awk Program,echo regex | awk program,display content of variabl _REGEX convert to lowercas
read -r -d Regex,read -r -d regex,read standard input until a null charact is found and save result in variabl _REGEX
"ssh askapache sh -c ""( ( nohup chown -R ask:ask /www/askapache.com &>/dev/null ) & )""","ssh askapache sh -c ""( ( nohup chown -r ask:ask /www/askapache.com &>/dev/null ) & )""",execut _FILE in background on server _REGEX
ln File -s,ln file -s,creat a symbol link in current directori name _REGEX to file _FILE
find Path -name Regex -printf '%h\n' | xargs -I {} ls -l {},find path -name regex -printf '%h\n' | xargs -i {} ls -l {},display a long list of all directori which file end with _FILE
find data/ -name filepattern-*2009* | cpio -ov --format=ustar > 2009.tar,find data/ -name filepattern-*2009* | cpio -ov --format=ustar > 2009.tar,archiv all _REGEX file and directori under _DIRECTORY into _REGEX
find . -name ‘*.mp4’ >> /tmp/$$,find . -name ‘*.mp4’ >> /tmp/$$,find all _FILE video file in current folder and save output to file _FILE
find Path -type f,find path -type f,find all regular file in _FILE tree
find Path -name Regex -ls,find path -name regex -ls,list all _FILE file and directori under _FILE
find Path -name Regex -exec mv {} File \;,find path -name regex -exec mv {} file \;,find all _REGEX file and directori under current directori and move them to _DIRECTORY
seq Number Number | sort -R | tee File | cat <( cat File ) <( echo Regex ),seq number number | sort -r | tee file | cat <( cat file ) <( echo regex ),print a random sort list of number from _NUMBER to _NUMBER to file _FILE and screen follow by _REGEX
echo Regex | tee File,echo regex | tee file,write _REGEX to standard output and to _FILE
find Path -type f -name Regex -exec rm -f {} \;,find path -type f -name regex -exec rm -f {} \;,forc remov all regular file which begin with less in temp folder
find . -type f ! -iregex .\|./.git -exec perl -i -pe s/$1/$upper2/gi {} +,find . -type f ! -iregex .\|./.git -exec perl -i -pe s/$1/$upper2/gi {} +,find all file under current directori that match case insensit regex _REGEX and replac text match case insensit regex expand by _REGEX with _REGEX in these file
find Path -type f -prune -name Regex -print,find path -type f -prune -name regex -print,display all file end with _FILE in _DIRECTORY and exclud all regular file
"find Path -printf ""%y %p\n""","find path -printf ""%y %p\n""",print out name and type of all file in current directori tree
find Path -type d -exec chmod Permission File \;,find path -type d -exec chmod permission file \;,find all directori under and below directori _REGEX and chang permiss to _NUMBER
find Path -group Regex,find path -group regex,find all file own by group _REGEX
find Path -type d -name Regex,find path -type d -name regex,find all directori name _FILE under _DIRECTORY directori tree
find Path -user Regex,find path -user regex,find all file and directori own by user _REGEX under current directori
find Path -type f -name Regex -atime -Timespan -user Regex,find path -type f -name regex -atime -timespan -user regex,display all file in home folder which belong to user _REGEX and end with _FILE and been access in _TIMESPAN
split -d -l Quantity File Regex,split -d -l quantity file regex,split _REGEX into file of at most _REGEX with a numer suffix and a prefix _REGEX
"join -t Regex -o 1.1,1.2,2.3 -a Quantity File File","join -t regex -o 1.1,1.2,2.3 -a quantity file file",merg line whose first comma-separ field in file _REGEX also appear as a first comma-separ in file _REGEX also output unmatch line from _REGEX both file be sort and output format of each line will be first field of _REGEX second field of _REGEX and third field of _REGEX
find Path -inum Quantity -exec rm {} \;,find path -inum quantity -exec rm {} \;,remov file with inod number _NUMBER
find Path $( echo Regex ) -maxdepth Quantity -empty,find path $( echo regex ) -maxdepth quantity -empty,check if directori _REGEX is empti
"ps -e -orss=,args= | sort -b -k1,1n | pr -TW$COLUMNS","ps -e -orss=,args= | sort -b -k1,1n | pr -tw$columns",print list of process in system ascend by memori usag
find Path -name Regex -prune,find path -name regex -prune,find all file and directori under current directori tree that start with _REGEX in name without descend into directori with same name pattern
mkdir -p $( file -b --mime-type File | uniq ),mkdir -p $( file -b --mime-type file | uniq ),make directori and parent as need for each uniqu mime type in current directori
ln -s -f $( readlink -f File ) Regex,ln -s -f $( readlink -f file ) regex,forc creat a symbol link name _REGEX to canon absolut path of _REGEX
cal -h | cut -c Number | tail -n +Quantity | wc -w,cal -h | cut -c number | tail -n +quantity | wc -w,count all busi day in a current month
IFS=$\n read -d  -ra files < <(find /foo -name *.txt),ifs=$\n read -d  -ra files < <(find /foo -name *.txt),read all _FILE file path under _FILE into a bash array
seq 10 | xargs -i --max-procs=4 bash -c echo start {}; sleep 3; echo done {},seq 10 | xargs -i --max-procs=4 bash -c echo start {}; sleep 3; echo done {},run _NUMBER bash process at most _NUMBER at a time of _REGEX for n rang from _NUMBER to _NUMBER
uname -i,uname -i,display hardwar platform ie _REGEX even if current kernel use _REGEX address
mktemp --dry-run Regex,mktemp --dry-run regex,creat random file name format like express in variabl _DIRECTORY _FILE and save it in _REGEX variabl
jobs -l | tr Regex Regex,jobs -l | tr regex regex,list job and process id and print them by replac newlin with _REGEX
find /var/www/vhosts/*/httpdocs -type f ( -iwholename */libraries/joomla/version.php -o -iwholename */libraries/cms/version.php -o -iwholename */libraries/cms/version/version.php ) -print0 -exec perl -e while (<>) { $release = $1 if m/ \$RELEASE\s+= .([\d.]+).;/; $dev = $1 if m/ \$DEV_LEVEL\s+= .(\d+).;/; } print qq( = $release.$dev\n); {} ;,find /var/www/vhosts/*/httpdocs -type f ( -iwholename */libraries/joomla/version.php -o -iwholename */libraries/cms/version.php -o -iwholename */libraries/cms/version/version.php ) -print0 -exec perl -e while (<>) { $release = $1 if m/ \$release\s+= .([\d.]+).;/; $dev = $1 if m/ \$dev_level\s+= .(\d+).;/; } print qq( = $release.$dev\n); {} ;,search for all joomla 's _FILE file in various directori and display latest version of it
su - jetty cp file1 file2,su - jetty cp file1 file2,make a copi of file _REGEX name _REGEX
find Path -name Regex -or -name Regex,find path -name regex -or -name regex,find all _FILE and _FILE file in _FILE directori tree
sed -i Program File,sed -i program file,delet all line match _REGEX in _REGEX
sed -i Regex Program File,sed -i regex program file,replac all url in _FILE with _REGEX and creat a backup with suffix _FILE
ionice -c 3 find . -type f -amin -1440 -mmin +1441 -not -path custom/ -print0,ionice -c 3 find . -type f -amin -1440 -mmin +1441 -not -path custom/ -print0,find all regular file in current folder which been access in _TIMESPAN and not modifi in _TIMESPAN exclud those which are in custom sub directori tree
find Path -type f -name Regex,find path -type f -name regex,find all regular _FILE file in _FILE directori tree
find Path -type f -size +Size -exec ls -l -h {} \;,find path -type f -size +size -exec ls -l -h {} \;,display list of all regular file in home folder which are bigger than _SIZE
find Path -name Regex -type f -print,find path -name regex -type f -print,find all regular file name _REGEX under current directori tree
